x pos,y pos,z pos,roll,pitch,yaw,rcs,pd
10,60,5,0,17.75734707816393,90,0,0
13,63,4,-13.262676008304846,-9.09708958809118,45.0,-35.3552321810215,0.8682224885522403
17,63,3,-14.036243467926479,-9.09708958809118,0.0,-16.23573303934083,0.9857266255337868
21,61,2,-12.604382648379183,-5.399867980859269,-26.56505117707799,-42.805404029975605,0.8277396108495356
25,60,1,-13.63302222536641,2.552602949380911,-14.036243467926479,-36.2085343156324,0.9172629264068937
29,58,0,-12.604382648379183,-2.552602949380911,-26.56505117707799,-43.1784102707147,0.8146957202194491
31,55,0,0.0,-6.041702971588226,-56.309932474020215,-43.6482818065065,0.9159630737832323
33,52,0,0.0,0.0,-56.309932474020215,-44.35119971466565,0.9025830146482166
37,50,0,0.0,6.041702971588226,-26.56505117707799,-42.242066049483,0.815586017471614
41,50,0,0.0,5.399867980859269,0.0,-29.07513725408125,0.9340961946361872
45,51,0,0.0,2.8592436091481734,14.036243467926479,-37.5853865436647,0.8501611698608946
49,53,0,0.0,2.552602949380911,26.56505117707799,-43.8743792618172,0.6776089552530391
53,55,0,0.0,0.0,26.56505117707799,-39.039236078667,0.7338513356354942
57,57,0,0.0,0.0,26.56505117707799,-41.9820000226572,0.6340321811076104
61,59,0,0.0,0.0,26.56505117707799,-46.1437072699029,0.5596201858790495
65,60,0,0.0,-2.552602949380911,14.036243467926479,-44.9755014351329,0.6609393746763617
69,60,0,0.0,-2.8592436091481734,0.0,-33.8278082763495,0.8597524014350857
73,60,0,0.0,0.0,0.0,-39.039236078667,0.7628032316873166
77,60,0,0.0,0.0,0.0,-43.47875072889505,0.6984334623750685
81,60,0,0.0,0.0,0.0,-43.8608262243484,0.6886212390144566
85,60,0,0.0,0.0,0.0,-56.58896775861995,0.28281239381601553
89,60,0,0.0,0.0,0.0,-45.87266598827965,0.481675489452167
