x pos,y pos,z pos,roll,pitch,yaw,rcs,pd
10,60,5,0,17.75734707816393,90,0,0
12,64,4,-12.604382648379183,-5.399867980859269,63.43494882292201,-43.8608262243484,0.5296394787249428
16,66,3,-12.604382648379183,-7.47411334323428,26.56505117707799,-37.5853865436647,0.617727601160712
20,68,2,-12.604382648379183,0.0,26.56505117707799,-37.5948512662136,0.6772952849234095
24,69,1,-13.63302222536641,-2.552602949380911,14.036243467926479,-39.1559478592586,0.7020610866167563
28,70,2,13.63302222536641,0.0,14.036243467926479,-59.0083338413554,0.20582007135324043
32,70,1,-14.036243467926479,-2.8592436091481734,0.0,-63.4248069379872,0.15481781971553288
36,70,0,-14.036243467926479,0.0,0.0,-47.3809996353728,0.3802847001389681
40,71,0,0.0,2.8592436091481734,14.036243467926479,-39.891507996212,0.5116639691105503
44,71,0,0.0,-2.8592436091481734,0.0,-39.7403961590989,0.5296086252647191
48,73,0,0.0,5.399867980859269,26.56505117707799,-45.1283057925668,0.40410533992335107
52,74,0,0.0,-2.552602949380911,14.036243467926479,-43.8743792618172,0.4360999168231874
56,74,0,0.0,-2.8592436091481734,0.0,-40.6758795105638,0.5149454750962823
60,76,0,0.0,5.399867980859269,26.56505117707799,-63.4248069379872,0.3515637111363985
64,75,0,0.0,-8.220654094912417,-14.036243467926479,-37.70515900916795,0.7106573266360412
68,74,0,0.0,0.0,-14.036243467926479,-38.7431796312128,0.565337557945709
72,72,0,0.0,-2.552602949380911,-26.56505117707799,-39.7403961590989,0.6281817425533129
76,70,0,0.0,0.0,-26.56505117707799,-37.5853865436647,0.6280877379858025
80,68,0,0.0,0.0,-26.56505117707799,-38.7431796312128,0.6105268184973532
84,66,0,0.0,0.0,-26.56505117707799,-40.7923602122265,0.5688571876789876
87,63,0,0.0,-3.7530225630270495,-45.0,-39.44817200917875,0.6177358886121166
90,60,0,0.0,0.0,-45.0,-37.858310248866445,0.6710024000909847
