x pos,y pos,z pos,roll,pitch,yaw,rcs,pd
10,60,5,0,17.75734707816393,90,0,0
11,64,4,-13.63302222536641,-2.8592436091481717,75.96375653207353,-42.941738380061,0.4266605599914536
14,66,3,-15.501359566936996,-8.554355513065325,33.690067525979785,-32.44313500514875,0.8046439041237509
18,68,2,-12.604382648379183,-1.4522916167706283,26.56505117707799,-36.20960882214305,0.7764189137852141
22,69,3,13.63302222536641,-2.552602949380911,14.036243467926479,-42.718521734311054,0.7268070650024883
26,71,2,-12.604382648379183,2.552602949380911,26.56505117707799,-47.1898075363332,0.39446364329941774
30,72,2,0.0,-2.552602949380911,14.036243467926479,-100,0
34,74,2,0.0,2.552602949380911,26.56505117707799,-100,0
38,76,2,0.0,0.0,26.56505117707799,-100,0
42,75,1,-13.63302222536641,-8.220654094912417,-14.036243467926479,-42.52195597843365,0.43869552366332065
45,72,0,-13.262676008304846,-6.2873335859255555,-45.0,-53.3498687437405,0.2578416644308442
49,70,0,0.0,3.7530225630270495,-26.56505117707799,-43.987389159686245,0.45129323554576484
52,68,0,0.0,-1.4522916167706283,-33.690067525979785,-42.8667779207252,0.49633791698097796
56,67,0,0.0,4.000382761467599,-14.036243467926479,-41.1721834095878,0.7448126053185508
60,66,0,0.0,0.0,-14.036243467926479,-41.9674066905276,0.7360710553755322
64,64,0,0.0,-2.552602949380911,-26.56505117707799,-45.15747509351735,0.7427392487220743
68,62,0,0.0,0.0,-26.56505117707799,-41.1721834095878,0.7837410910701897
72,60,0,0.0,0.0,-26.56505117707799,-40.4936745806963,0.7852771231495582
76,61,0,0.0,8.220654094912417,14.036243467926479,-41.3364718286453,0.6570109435097158
80,63,0,0.0,2.552602949380911,26.56505117707799,-47.32353009102715,0.519156738754381
84,65,0,0.0,0.0,26.56505117707799,-50.0412865345408,0.37089700476026244
88,65,0,0.0,-5.399867980859269,0.0,-40.4899763810078,0.5741659103948662
91,62,0,0.0,-9.09708958809118,-45.0,-38.258980382646,0.6423028341596081
