x pos,y pos,z pos,roll,pitch,yaw,rcs,pd
10,60,5,0,17.75734707816393,90,0,0
13,63,4,-13.262676008304846,-9.09708958809118,45.0,-38.4821446417865,0.7641553045055394
17,63,3,-14.036243467926479,-9.09708958809118,0.0,-15.416740427325276,0.9888644675393997
21,61,2,-12.604382648379183,-5.399867980859269,-26.56505117707799,-45.4112262187149,0.801483832523855
25,60,1,-13.63302222536641,2.552602949380911,-14.036243467926479,-34.44628394156955,0.9212676784167034
29,58,0,-12.604382648379183,-2.552602949380911,-26.56505117707799,-47.7417396133467,0.7830470310222777
31,55,0,0.0,-6.041702971588226,-56.309932474020215,-46.606874760247,0.8939739116466607
33,52,0,0.0,0.0,-56.309932474020215,-49.4058978078759,0.8564510824971674
37,50,0,0.0,6.041702971588226,-26.56505117707799,-45.16054917788505,0.8426300622826666
41,50,0,0.0,5.399867980859269,0.0,-28.475231461267448,0.9479224062622271
45,51,0,0.0,2.8592436091481734,14.036243467926479,-37.9381110271349,0.8888681628245739
49,53,0,0.0,2.552602949380911,26.56505117707799,-37.2466562402302,0.8798876093848731
53,55,0,0.0,0.0,26.56505117707799,-36.6783045910091,0.8662925710543699
57,57,0,0.0,0.0,26.56505117707799,-50.421132093699,0.6018212094806953
61,59,0,0.0,0.0,26.56505117707799,-44.1794081325596,0.6863214649818585
65,60,0,0.0,-2.552602949380911,14.036243467926479,-44.0796914500548,0.6965643998940032
69,60,0,0.0,-2.8592436091481734,0.0,-34.465662169193905,0.8352856185921868
73,60,0,0.0,0.0,0.0,-36.6783045910091,0.813029688882555
77,60,0,0.0,0.0,0.0,-47.2504117718769,0.6599264239566609
81,60,0,0.0,0.0,0.0,-47.1133983115368,0.6229439426946018
85,60,0,0.0,0.0,0.0,-41.02900846135195,0.6091879167855196
89,60,0,0.0,0.0,0.0,-44.734583159550695,0.5078832272824549
