x pos,y pos,z pos,roll,pitch,yaw,rcs,pd
10,60,5,0,17.75734707816393,90,0,0
13,63,4,-13.262676008304846,-9.09708958809118,45.0,-16.6432946295644,0.9643865244046799
17,63,3,-14.036243467926479,-9.09708958809118,0.0,-43.987389159686245,0.9989684000355347
21,61,2,-12.604382648379183,-5.399867980859269,-26.56505117707799,-49.78779909631055,0.7831815606253322
25,60,1,-13.63302222536641,2.552602949380911,-14.036243467926479,-58.743592227426106,0.9999980024135346
29,58,0,-12.604382648379183,-2.552602949380911,-26.56505117707799,-37.9864461218164,0.9744468395844845
31,55,0,0.0,-6.041702971588226,-56.309932474020215,-44.9688641382638,0.7480055695198614
33,52,0,0.0,0.0,-56.309932474020215,-40.1281365276333,0.8712588786990347
37,50,0,0.0,6.041702971588226,-26.56505117707799,-45.66815743277845,0.9899877814939372
41,50,0,0.0,5.399867980859269,0.0,-42.52195597843365,0.7882495906802683
45,51,0,0.0,2.8592436091481734,14.036243467926479,-38.258980382646,0.7900054861804995
49,53,0,0.0,2.552602949380911,26.56505117707799,-7.39280114116836,0.9999604192800625
53,55,0,0.0,0.0,26.56505117707799,-16.6278007652176,0.9958201582175559
57,57,0,0.0,0.0,26.56505117707799,-28.8591807333611,0.9074152719320633
61,59,0,0.0,0.0,26.56505117707799,-35.6941203094595,0.7825752126692924
65,60,0,0.0,-2.552602949380911,14.036243467926479,-25.7720446191752,0.9495217559773427
69,60,0,0.0,-2.8592436091481734,0.0,-2.260174949508125,0.9999987097883192
73,60,0,0.0,0.0,0.0,-16.6278007652176,0.9949433573098195
77,60,0,0.0,0.0,0.0,-27.315612676268152,0.9313486497785289
81,60,0,0.0,0.0,0.0,-33.7710090588707,0.8373953743659018
85,60,0,0.0,0.0,0.0,-39.0533852369836,0.6576813281386776
89,60,0,0.0,0.0,0.0,-42.1123171246222,0.5703225723194525
