x,y,z,theta_dg,psi_dg
817,516,52,0.0,270.0
774,473,48,-3.763344647910302,-135.0
731,430,44,-3.763344647910302,-135.0
688,430,40,-5.31454566994475,180.0
645,387,36,-3.763344647910302,-135.0
645,344,36,0.0,-90.0
602,301,32,-3.763344647910302,-135.0
559,258,28,-3.763344647910302,-135.0
516,258,24,-5.31454566994475,180.0
473,215,20,-3.763344647910302,-135.0
430,172,16,-3.763344647910302,-135.0
387,129,12,-3.763344647910302,-135.0
344,86,8,-3.763344647910302,-135.0
301,43,4,-3.763344647910302,-135.0
258,0,0,-3.763344647910302,-135.0
215,0,0,0.0,180.0
172,0,0,0.0,180.0
129,0,0,0.0,180.0
86,0,0,0.0,180.0
43,0,0,0.0,180.0
0,0,0,0.0,180.0
